Date,Price,Open,High,Low,Vol,Change%
16-Oct-16,"3,090.94","3,064.69","3,101.85","3,033.75",87.63B,0.89%
9-Oct-16,"3,063.81","3,020.46","3,066.10","3,014.62",77.99B,1.97%
25-Sep-16,"3,004.70","3,028.24","3,028.24","2,969.13",58.52B,-0.96%
18-Sep-16,"3,033.90","3,005.32","3,054.44","3,005.32",61.88B,1.03%
11-Sep-16,"3,002.85","3,037.51","3,040.95","2,995.42",47.48B,-2.47%
4-Sep-16,"3,078.85","3,070.71","3,105.68","3,053.19",81.14B,0.37%
28-Aug-16,"3,067.35","3,068.46","3,088.70","3,050.49",73.19B,-0.10%
21-Aug-16,"3,070.31","3,107.38","3,112.74","3,041.51",81.62B,-1.22%
14-Aug-16,"3,108.10","3,056.48","3,140.44","3,053.87",121.35B,1.88%
7-Aug-16,"3,050.67","2,972.62","3,051.05","2,959.05",82.05B,2.48%
31-Jul-16,"2,976.70","2,971.95","2,991.68","2,931.96",67.98B,-0.09%
24-Jul-16,"2,979.34","3,008.09","3,057.42","2,939.23",92.17B,-1.11%
17-Jul-16,"3,012.82","3,047.64","3,058.32","3,007.46",79.69B,-1.36%
10-Jul-16,"3,054.30","2,993.75","3,069.05","2,984.42",109.05B,2.22%
3-Jul-16,"2,988.09","2,924.29","3,024.11","2,922.52",106.13B,1.90%
26-Jun-16,"2,932.48","2,840.56","2,944.99","2,840.28",81.95B,2.74%
19-Jun-16,"2,854.29","2,887.64","2,919.30","2,807.60",75.85B,-1.07%
12-Jun-16,"2,885.11","2,897.27","2,911.16","2,811.78",80.10B,-1.44%
5-Jun-16,"2,927.16","2,940.99","2,945.94","2,908.37",41.80B,-0.39%
29-May-16,"2,938.68","2,814.65","2,945.52","2,794.66",84.17B,4.17%
22-May-16,"2,821.05","2,826.31","2,848.07","2,780.76",56.01B,-0.16%
15-May-16,"2,825.48","2,816.78","2,860.32","2,781.42",59.88B,-0.06%
8-May-16,"2,827.11","2,896.16","2,896.16","2,781.24",68.77B,-2.96%
1-May-16,"2,913.25","2,940.39","3,004.42","2,913.04",68.57B,-0.85%
24-Apr-16,"2,938.32","2,949.97","2,976.02","2,916.37",62.24B,-0.71%
17-Apr-16,"2,959.24","3,058.46","3,058.46","2,905.05",94.96B,-3.86%
10-Apr-16,"3,078.12","3,006.91","3,097.16","3,001.32",111.06B,3.12%
3-Apr-16,"2,984.96","3,000.94","3,062.36","2,960.46",89.78B,-0.82%
27-Mar-16,"3,009.53","2,988.01","3,023.41","2,905.25",102.23B,1.01%
20-Mar-16,"2,979.43","2,978.46","3,028.32","2,952.11",125.18B,0.82%
13-Mar-16,"2,955.15","2,830.08","2,971.55","2,819.79",105.83B,5.15%
6-Mar-16,"2,810.31","2,886.64","2,911.84","2,772.55",90.05B,-2.22%
28-Feb-16,"2,874.15","2,754.81","2,880.37","2,638.96",126.56B,3.86%
21-Feb-16,"2,767.21","2,888.60","2,933.96","2,715.87",110.67B,-3.25%
14-Feb-16,"2,860.02","2,684.96","2,893.21","2,682.09",92.47B,3.49%
31-Jan-16,"2,763.49","2,730.98","2,793.30","2,655.62",77.44B,0.95%
24-Jan-16,"2,737.60","2,934.08","2,955.78","2,638.30",93.74B,-6.14%
17-Jan-16,"2,916.56","2,847.54","3,016.28","2,844.70",93.80B,0.54%
10-Jan-16,"2,900.97","3,131.85","3,166.22","2,867.55",108.52B,-8.96%
3-Jan-16,"3,186.41","3,536.59","3,538.69","3,056.88",104.72B,-9.97%
27-Dec-15,"3,539.18","3,635.77","3,641.59","3,515.52",81.74B,-2.45%
20-Dec-15,"3,627.91","3,568.58","3,684.57","3,565.75",128.55B,1.37%
13-Dec-15,"3,578.96","3,403.51","3,614.70","3,399.28",116.69B,4.20%
6-Dec-15,"3,434.58","3,529.81","3,543.95","3,410.92",101.17B,-2.56%
29-Nov-15,"3,524.99","3,433.86","3,591.73","3,327.81",139.09B,2.58%
22-Nov-15,"3,436.30","3,630.87","3,668.38","3,412.43",149.89B,-5.35%
15-Nov-15,"3,630.50","3,522.46","3,678.27","3,519.42",151.61B,1.39%
8-Nov-15,"3,580.84","3,588.50","3,673.76","3,564.81",200.13B,-0.26%
1-Nov-15,"3,590.03","3,337.58","3,596.38","3,302.18",174.53B,6.13%
25-Oct-15,"3,382.56","3,448.65","3,457.52","3,332.62",146.65B,-0.88%
18-Oct-15,"3,412.43","3,401.63","3,447.26","3,265.44",182.67B,0.62%
11-Oct-15,"3,391.35","3,193.54","3,393.02","3,188.41",169.03B,6.54%
4-Oct-15,"3,183.15","3,156.07","3,192.72","3,133.13",46.91B,4.27%
27-Sep-15,"3,052.78","3,085.57","3,103.07","3,021.16",46.66B,-1.28%
20-Sep-15,"3,092.35","3,072.09","3,213.48","3,060.86",120.02B,-0.18%
13-Sep-15,"3,097.92","3,221.17","3,229.48","2,983.54",140.01B,-3.20%
6-Sep-15,"3,200.23","3,149.38","3,256.74","3,011.12",142.50B,1.27%
30-Aug-15,"3,160.17","3,203.56","3,207.86","3,019.09",126.80B,-2.23%
23-Aug-15,"3,232.35","3,373.48","3,388.36","2,850.71",199.71B,-7.85%
16-Aug-15,"3,507.74","3,947.84","4,006.34","3,490.54",223.96B,-11.54%
9-Aug-15,"3,965.33","3,786.03","4,000.68","3,775.85",237.70B,5.91%
2-Aug-15,"3,744.20","3,614.99","3,782.35","3,549.50",170.81B,2.20%
26-Jul-15,"3,663.73","3,985.57","4,051.16","3,537.36",236.26B,-10.00%
19-Jul-15,"4,070.91","3,948.42","4,184.45","3,912.80",275.51B,2.87%
12-Jul-15,"3,957.35","3,918.99","4,035.43","3,688.44",288.93B,2.05%
5-Jul-15,"3,877.80","3,975.21","3,975.21","3,373.54",345.36B,5.18%
28-Jun-15,"3,686.92","4,289.77","4,317.05","3,629.56",311.59B,-12.07%
